[2026-01-26 19:02:16] info: 	z2m: Logging to console, file (filename: log.log)
[2026-01-26 19:02:16] info: 	z2m: Starting Zigbee2MQTT version 2.7.2 (commit #3a49c95786c2fba749e7696aab4cc38e467d2c4c
)
[2026-01-26 19:02:16] info: 	z2m: Starting zigbee-herdsman (8.0.1)
[2026-01-26 19:02:16] info: 	zh:adapter:discovery: Matched adapter: {"path":"/dev/ttyUSB0","manufacturer":"Silicon Labs","serialNumber":"0001","pnpId":"usb-Silicon_Labs_Sonoff_Zigbee_3.0_USB_Dongle_Plus_0001-if00-port0","vendorId":"10c4","productId":"ea60"} => zstack: 4
[2026-01-26 19:02:16] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2026-01-26 19:02:16] info: 	zh:zstack:znp: Serialport opened
[2026-01-26 19:02:19] info: 	z2m: zigbee-herdsman started (resumed)
[2026-01-26 19:02:19] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20210708,"transportrev":2},"type":"ZStack3x0"}'
[2026-01-26 19:02:19] info: 	z2m: temp-outside (0xa4c13891e06e629d): TH02Z - Tuya Temperature and humidity sensor (EndDevice)
[2026-01-26 19:02:19] info: 	z2m: temp-livingroom (0x00158d000423e554): WSDCGQ11LM - Aqara Temperature and humidity sensor (EndDevice)
[2026-01-26 19:02:19] info: 	z2m: Currently 2 devices are joined.
[2026-01-26 19:02:19] info: 	z2m: Connecting to MQTT server at mqtt://192.168.1.182:1883
[2026-01-26 19:02:19] info: 	z2m: Connected to MQTT server
[2026-01-26 19:02:19] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2026-01-26 19:02:20] info: 	z2m: Started frontend on port 8080
[2026-01-26 19:02:20] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/temp-outside', payload '{"battery":100,"humidity":60.32,"linkquality":183,"temperature":25.72,"voltage":3000}'
[2026-01-26 19:02:20] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/temp-livingroom', payload '{"humidity":30.02,"linkquality":183,"pressure":1008.3,"temperature":24.07}'
[2026-01-26 19:02:20] info: 	z2m: Zigbee2MQTT started!
[2026-01-26 19:02:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/temp-livingroom', payload '{"battery":90,"humidity":31.39,"linkquality":45,"power_outage_count":25794,"pressure":1008,"temperature":22.49,"voltage":2985}'
[2026-01-26 19:03:40] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/temp-livingroom', payload '{"battery":90,"humidity":31.39,"linkquality":42,"power_outage_count":25794,"pressure":1008,"temperature":21.9,"voltage":2985}'
[2026-01-26 19:03:40] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/temp-livingroom', payload '{"battery":90,"humidity":31.95,"linkquality":51,"power_outage_count":25794,"pressure":1008,"temperature":21.9,"voltage":2985}'
[2026-01-26 19:03:40] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/temp-livingroom', payload '{"battery":90,"humidity":31.95,"linkquality":51,"power_outage_count":25794,"pressure":1008,"temperature":21.9,"voltage":2985}'
[2026-01-26 19:04:05] info: 	z2m: Zigbee: allowing new devices to join.
[2026-01-26 19:04:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254},"status":"ok","transaction":"nbktx-1"}'
[2026-01-26 19:04:32] info: 	zh:controller: Interview for '0xbc026efffe674311' started
[2026-01-26 19:04:32] info: 	z2m: Device '0xbc026efffe674311' joined
[2026-01-26 19:04:32] info: 	z2m: Starting interview of '0xbc026efffe674311'
[2026-01-26 19:04:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0xbc026efffe674311","ieee_address":"0xbc026efffe674311"},"type":"device_joined"}'
[2026-01-26 19:04:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0xbc026efffe674311","ieee_address":"0xbc026efffe674311","status":"started"},"type":"device_interview"}'
